time;x;y;z
2024-12-19T16:04:22Z;-16.97538;1.300487;5.137196
2024-12-19T16:04:23Z;-16.92287;1.800388;5.21176
2024-12-19T16:04:24Z;-16.91716;2.100026;5.219662
2024-12-19T16:04:25Z;-16.92075;1.552548;5.219671
2024-12-19T16:04:26Z;-16.94126;1.383623;5.22955
2024-12-19T16:04:27Z;-16.93067;2.043437;5.301293
2024-12-19T16:04:29Z;-16.9008;1.779831;5.293074
2024-12-19T16:04:32Z;-16.94979;1.711409;5.265563
2024-12-19T16:04:33Z;-16.69305;2.041344;5.161503
2024-12-19T16:04:34Z;-16.54523;2.195582;5.011982
2024-12-19T16:04:35Z;-16.89727;1.72845;5.330943
2024-12-19T16:04:37Z;-16.64497;1.486907;5.128417
2024-12-19T16:04:38Z;-16.56154;1.330233;4.993809
2024-12-19T16:04:39Z;-16.77561;1.656125;5.239277
2024-12-19T16:04:47Z;-15.75384;1.458629;4.395554
2024-12-19T16:04:48Z;-15.72899;1.966025;4.501255
2024-12-19T16:04:49Z;-15.73293;1.981277;4.508661
2024-12-19T16:04:50Z;-15.55201;1.676389;4.343104
2024-12-19T16:04:51Z;-15.43818;1.355998;4.088948
2024-12-19T16:04:52Z;-15.38543;1.473022;4.102473
2024-12-19T16:04:53Z;-15.35447;2.095953;4.129166
2024-12-19T16:05:08Z;-14.64199;1.869681;3.762473
2024-12-19T16:05:09Z;-14.36605;1.899064;3.521873
2024-12-19T16:05:10Z;-14.26532;1.875501;3.358415
2024-12-19T16:05:11Z;-14.53577;1.431522;3.553864
2024-12-19T16:05:12Z;-14.7679;1.165953;3.592775
2024-12-19T16:05:13Z;-14.56572;1.273694;3.484366
2024-12-19T16:05:14Z;-14.41778;1.314114;3.298224
2024-12-19T16:05:20Z;-13.51421;1.773817;3.054766
2024-12-19T16:05:21Z;-13.48097;1.980466;3.178321
2024-12-19T16:05:22Z;-13.25779;1.626083;2.948406
2024-12-19T16:05:23Z;-13.25573;1.520055;2.791421
2024-12-19T16:05:24Z;-13.28956;2.020711;2.621992
2024-12-19T16:05:25Z;-13.31876;2.070603;2.631599
2024-12-19T16:05:26Z;-13.2453;1.666939;2.76401
2024-12-19T16:05:27Z;-13.4734;1.19782;2.954686
